skill_title,skill_description,skill_type,is_emerging,is_casl
22KV Switchgear Systems Maintenance,Implement preventive and corrective maintenance activities of 22KV switchgear systems,tsc,False,False
2D Animation,"Create 2D animated sequences for incorporation into animated films, videos, games or other media content",tsc,False,False
360 Degree Camera Operations,Manage the set-up and operations of types of 360 degree cameras and associated equipment for the production of immersive media content,tsc,False,False
3D Animation,"Create 3D animated sequences depicting motion through computer-based visual graphics for use in films, games or other media content",tsc,False,False
3D Environment Creation,Develop 3D environments to meet the artistic and technical requirements of production,tsc,False,False
3D Modelling,Generate 3D models using a variety of modelling software to represent characteristics of a real-world system,tsc,False,False
AI Content Generation for Music,Produce AI-generated music,tsc,False,False
AI Content Generation for Photorealistic Images,Produce AI-generated photorealistic images,tsc,False,False
AI Content Generation for Script Development,Generate AI-assisted story elements for script development,tsc,False,False
AI Content Generation for Videos,Produce AI-generated videos,tsc,False,False
AI Content Generation for Visual Art Images,Produce AI-generated Visual Art images,tsc,False,False
Access Control Management,Manage access control to ensure authorised access in accordance with the organisation's policies,tsc,True,False
Accident and Incident Response Management,"Deploy appropriate tools, procedures and resources to respond to aviation inustry accidents and incidents",tsc,False,True
Account Management,"Manage, maintain, and grow sales and relationships with specific customers or accounts by engaging deeply, building relationships, and providing quality solutions and services to efficiently address customer needs and generate revenue",tsc,False,False
Accounting Standards,Apply financial reporting framework prescribed by the relevant governing body to ensure all transactions meet regulatory requirements,tsc,False,False
Accounting and Tax Systems,Implement accounting or tax software systems in the organisation,tsc,False,False
Accounting for Production,"Manage finances, maintain financial records and prepare budgets for films and television shows",tsc,False,False
Accreditation Structure Management,Design accreditation structures and award learning qualifications based on assessments aligned with accreditation requirements,tsc,False,False
Acting For Camera,Perform a scripted role for the Screen,tsc,False,False
"Action Choreography, Coordination, Design & Direction","Choreograph, coordinate, and direct action scenes involving high-risk physical performances, while managing talent recruitment, actor training, rehearsals, previsualizations, and overseeing project logistics including negotiations, payments, contracts, and insurance",tsc,False,False
Active and Smart Packaging,"Application of active/smart packaging methodology and processes to improve shelf-life, quality and safety of food product",tsc,True,False
Adapt to Change,"Identify global trends and changes impacting the workplace, as well as undertake lifelong learning to adapt to changes for sustained employability in the new knowledge economy",tsc,False,False
Adaptability,Exercise flexibility in behaviours or approaches to respond to changes and evolving contexts,ccs,False,False
Additive Manufacturing,Design and apply additive manufacturing workflows to create three-dimensional objects,tsc,True,False
Additive Manufacturing Processes and Systems,Identify constraints in the fabrication of complex-shaped components and propose solutions for overcoming these constraints through innovating additive manufacturing processes and defining appropriate business cases for implementing these new processes.,tsc,False,False
